,title,details,content
0,"DU UG Admission 2022: Key Points On Supernumerary Seats Under Sports, ECA Quota","Edited by Mridusmita Deka  | Monday September 12, 2022","While launching the Common Seat Allocation System (CSAS), DU said: “There are 14 ECA [extra-curricular activities] categories further divided into sub-categories. A candidate can apply for a maximum of three ECA categories."""
1,"Apple Working on iPhone Subscription Service, Could Launch by Year End: Mark Gurman","Written by Sheldon Pinto , Edited by Siddharth Suvarna  | Monday September 12, 2022","Apple’s hardware subscription service will be very different from its current iPhone Upgrade Programme, which is available in certain countries. It will essentially let buyers subscribe to Apple hardware instead of purchasing them outright."
2,"""Can Be Our Trump Card"": Harbhajan Singh Backs Young Pacer For T20 World Cup Berth","Tushar Mamgaain   | Monday September 12, 2022","Former spinner Harbhajan Singh has backed pacer Umran Malik and stated that he can be India's ""trump card"" on Australian pitches."
3,England vs South Africa: England Hammer South Africa In 3rd Test To Win Series 2-1,"Agence France-Presse   | Monday September 12, 2022","England thrashed South Africa by nine wickets in the third and deciding Test at the Oval on Monday, completing a 2-1 series win in just over two days of action."
4,"""Captain Cool"": Anand Mahindra Shares Video Of ""World's Best Bolero Driver""","Abhimanyu Kulkarni   | Monday September 12, 2022, New Delhi","Industrialist Anand Mahindra, who is known for his witty tweets, today shared a video of the ""best Bolero driver in the world."""
5,"Anushka Sharma And Virat Kohli's Pics Are Love, Actually","Written by Niharika Sanjeeiv  | Monday September 12, 2022, New Delhi",Anushka Sharma has dropped new pictures with Virat Kohli
6,"Koffee With Karan 7: Asked To Pick Between Katrina Kaif And Deepika Padukone, Varun Dhawan Said This","Written by Pranita Chaubey  | Monday September 12, 2022, New Delhi",Varun Dhawan appeared on the show with Anil Kapoor
7,"Twitter Replies To Elon Musk's Letter, Says Didn't Breach Deal Conditions","Reuters   | Monday September 12, 2022",Twitter Inc said on Monday payments made to a whistleblower did not breach any conditions of its $44 billion buyout by Elon Musk.
8,Rice Export Curbs Paralyse Trade In Asia As Prices Rise,"Reuters   | Monday September 12, 2022, MUMBAI","The restrictions on rice exports have paralysed trading in Asia, with buyers scouring for alternative supplies from Vietnam, Thailand and Myanmar where seller are holding off on deals as prices rise, industry officials said."
9,Hyderabad Ganesh Laddoo Auctioned For Record Rs 61 Lakh,"Written by Uma Sudhir , Edited by Sanjib Kumar Das  | Monday September 12, 2022, Hyderabad",Richmond Villa-Sun City laddoo was bought for a record Rs 60.8 lakh in an auction in Hyderabad during this Ganesh festival
10,Gyanvapi Case: 5 Big Quotes From The Varanasi Court Verdict,"Reported by Alok Pandey, Edited by Akhil Kumar  | Monday September 12, 2022, Varanasi","A court today agreed to hear a group of Hindu women who want year-long access to pray inside the Gyanvapi mosque in Varanasi, next to the famous Kashi Viswanath temple. The judge looked at 3 Acts and said none bar the case of the Hindu women."
11,This Easy Smoky Chicken Yoghurt Recipe Will Turn Around Your Weekdays Blues,"Vrinda Jain   | Monday September 12, 2022","This dish has a restaurant-style smoky flavour. Plus, it is easy to make since the chicken is cooked in dahi."
12,"Video: He Was Riding His Bicycle, A Dog Jumped On Him. And Then...","Edited by Amit Chaturvedi  | Monday September 12, 2022",Local publications said the boy studies in Class 7 in a Kozhikode. He was riding a bicycle when the dog suddenly attacked him.
13,Chhattisgarh CG PET 2022 Counselling Registration Begins; Details Here,"Written by Adarsh Srivastava  | Monday September 12, 2022","The Directorate of Technical Education (DoTE) Chhattisgarh has started the phase 1 counselling registrations for Chhattisgarh Pre Engineering Test (CG PET) 2022 today, September 12."
14,"Ambrane Glares With Inbuilt Speakers, 7-Hour Battery Life Launched in India: Details","Jasmin Jose   | Monday September 12, 2022","Ambrane Glares, the first smart glasses from the Indian tech company have been launched. Glares are an open-ear audio glasses that come with built-in speakers that are hidden in the frame. The smart glasses also feature Bluetooth v5.1, two-lens option and a speaker system. They are claimed to offer a battery life of 7 hours with just two hours of charging."
